Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z,Mag_x,Mag_y,Mag_z,Euler_x,Euler_y,Euler_z,Quat_0,Quat_1,Quat_2,Quat_3
23.6875,11.875,-12.3125,-0.03,1.89,9.57,-19.6875,-17.75,-20,-13.25,1.8125,124,0.466248,0.0400391,-0.109863,-0.876892
24,13.75,-15.1875,0.11,1.88,9.51,-19.6875,-17.75,-20,-13.5,1.625,124.125,0.465149,0.0421753,-0.112183,-0.877563
24.875,16.375,-16.6875,0.28,1.84,9.46,-19.6875,-17.75,-20,-13.75,1.4375,124.25,0.463989,0.0444946,-0.112183,-0.87793
26.25,18.5,-16.9375,0.44,1.77,9.42,-19.6875,-17.75,-20,-14,1.25,124.375,0.462769,0.0470581,-0.113342,-0.87793
27.6875,19.8125,-15.25,0.83,1.68,9.8,-19.6875,-19.25,-20.375,-14.3125,1,124.625,0.460754,0.0496216,-0.114624,-0.878723
28.0625,20.1875,-12.0625,0.93,1.68,10.09,-19.6875,-19.25,-20.375,-14.5625,0.8125,124.75,0.4599,0.0523682,-0.115845,-0.878784
25.875,19.8125,-7.875,0.92,1.71,10.1,-19.6875,-19.25,-20.375,-14.8125,0.625,124.75,0.459412,0.0549316,-0.117004,-0.878601
22.875,18.5,-4.3125,0.76,1.72,9.87,-19.6875,-19.25,-20.375,-15,0.4375,124.812,0.459167,0.057251,-0.11792,-0.878601
21.3125,16.6875,-2.875,0.47,1.83,9.55,-19.6875,-19.25,-20.375,-15.25,0.25,124.812,0.458984,0.0593262,-0.118835,-0.878418
21.4375,14.25,-3.75,0.39,1.9,9.61,-19,-20.75,-18.75,-15.4375,0.125,125.125,0.456177,0.0609131,-0.120056,-0.879639
22.375,13.25,-5.875,0.42,1.88,9.82,-19,-20.75,-18.75,-15.6875,0,125.188,0.45575,0.0628052,-0.121155,-0.879578
22.125,13.875,-7.875,0.63,1.76,10.15,-19,-20.75,-18.75,-15.875,-0.125,125.25,0.4552,0.0647583,-0.122253,-0.879578
19.3125,14.9375,-8.1875,0.64,1.78,10.15,-19,-20.75,-18.75,-16.0625,-0.3125,125.312,0.454651,0.0667114,-0.123047,-0.879639
15.125,14.1875,-7.375,0.6,1.83,10.02,-19,-20.75,-18.75,-16.1875,-0.4375,125.375,0.454163,0.0684204,-0.123596,-0.879639
11.625,12.125,-6.875,0.54,1.85,9.89,-17.5,-21.0625,-20.5,-16.3125,-0.5625,125.75,0.451172,0.069519,-0.124146,-0.881042
9.1875,10.25,-7.125,0.48,1.96,10.05,-17.5,-21.0625,-20.5,-16.4375,-0.6875,125.812,0.450684,0.0706787,-0.12439,-0.881104
7.125,9.6875,-7.375,0.62,1.99,10.14,-17.5,-21.0625,-20.5,-16.3125,-0.6875,125.812,0.450439,0.0701904,-0.123718,-0.881409
4.5,9.5625,-7.0625,0.74,2.02,10.2,-17.5,-21.0625,-20.5,-16.1875,-0.625,125.875,0.450195,0.069519,-0.122925,-0.881653
1.5,8.3125,-5.8125,0.82,2.02,10.19,-17.5,-21.0625,-20.5,-16.0625,-0.625,125.875,0.450073,0.0685425,-0.122131,-0.881958
-0.8125,4.625,-3.9375,0.74,2.07,10.07,-18.5625,-21.75,-18.5,-15.9375,-0.5,126.188,0.447937,0.0669556,-0.12146,-0.88324
-2.9375,-0.375,-2.1875,0.62,2.16,10.2,-18.5625,-21.75,-18.5,-15.75,-0.375,126.188,0.447998,0.0653687,-0.120789,-0.883423
-5.9375,-3.4375,-0.8125,0.4,2.3,10.16,-18.5625,-21.75,-18.5,-15.625,-0.25,126.188,0.448059,0.0639038,-0.120117,-0.883667
-9.5,-3.5625,-0.0625,0.22,2.35,10.15,-18.5625,-21.75,-18.5,-15.5,-0.25,126.188,0.44812,0.0632324,-0.119568,-0.883789
-13.3125,-1.3125,0.625,0.19,2.4,9.92,-18.5625,-21.75,-18.5,-15.375,-0.25,126.188,0.448181,0.0626221,-0.118591,-0.883789
-16.0625,2.9375,2.8125,0.07,2.38,9.76,-18.5625,-21.5,-19.25,-15.25,-0.25,126.312,0.447266,0.0620728,-0.117371,-0.884521
-15.8125,8.625,6,-0.02,2.41,9.84,-18.5625,-21.5,-19.25,-15.0625,-0.3125,126.25,0.447876,0.0620728,-0.115906,-0.884399
-14.5,14.1875,10,-0.03,2.46,10.34,-18.5625,-21.5,-19.25,-14.9375,-0.4375,126.125,0.448853,0.062439,-0.114319,-0.884033
-14.5625,19.75,13.875,0.2,2.48,10.54,-18.5625,-21.5,-19.25,-14.8125,-0.5625,126,0.450134,0.0632324,-0.11261,-0.883545
-17.5,23.375,18.625,0.24,2.48,10.44,-18.5625,-21.5,-19.25,-14.625,-0.75,125.75,0.451843,0.0641479,-0.110474,-0.882874
-22.8125,23.3125,24.3125,0.33,2.43,10.21,-18.1875,-21.75,-20.875,-14.4375,-0.875,125.75,0.452026,0.0645752,-0.108154,-0.883057
-28.3125,20.3125,29.75,-0.21,2.8,9.32,-18.1875,-21.75,-20.875,-14.125,-1,125.438,0.45459,0.0646973,-0.105469,-0.88208
-31.9375,16,32.5625,-0.63,2.97,8.91,-18.1875,-21.75,-20.875,-13.8125,-1.0625,125.125,0.457336,0.0643921,-0.1026,-0.881042
-31.5625,13.4375,31.125,-1,3.04,8.5,-18.1875,-21.75,-20.875,-13.5625,-1.125,124.812,0.4599,0.0639038,-0.0999146,-0.880005
-26.25,14.75,26.3125,-1.11,3.01,8.22,-18.1875,-21.75,-20.875,-13.3125,-1.25,124.5,0.462158,0.0637817,-0.0975342,-0.87915
-17.0625,19.125,21,-0.54,2.62,8.59,-18.1875,-19.5625,-19.6875,-13.125,-1.375,124.312,0.463684,0.0643311,-0.0956421,-0.878479
-8,23.1875,18.375,-0.09,2.49,9.04,-18.1875,-19.5625,-19.6875,-13.0625,-1.5625,124.125,0.465271,0.0655518,-0.0942383,-0.877686
-1.0625,28.75,20.0625,0.25,2.21,9.5,-18.1875,-19.5625,-19.6875,-13.0625,-1.75,123.875,0.46698,0.0675049,-0.0931396,-0.87677
1.8125,33.625,26.875,0.68,1.93,9.94,-18.1875,-19.5625,-19.6875,-13.0625,-2,123.562,0.469238,0.0698242,-0.0921021,-0.875488
-2.75,34.5,36.75,0.19,2.28,10.26,-18.1875,-19.5625,-19.6875,-13.0625,-2.25,123.188,0.472229,0.0720215,-0.0907593,-0.87384
-12.0625,36.6875,44.0625,-0.2,2.33,10.12,-19,-19.5625,-19.6875,-13,-2.5,122.812,0.475098,0.0737915,-0.0887451,-0.872375
-22.1875,41.0625,47.4375,-0.41,2.2,9.54,-19,-19.5625,-19.6875,-12.8125,-2.8125,122.312,0.479004,0.0756226,-0.0857544,-0.870361
-28.3125,45.875,47.75,-0.67,1.9,8.29,-19,-19.5625,-19.6875,-12.5625,-3.125,121.812,0.483032,0.0774536,-0.0820923,-0.868286
-27.25,51,46.6875,-0.53,1.68,8.01,-19,-19.5625,-19.6875,-12.3125,-3.5,121.312,0.487,0.0797729,-0.0783081,-0.866211
-21.75,54.375,46.5625,-0.36,1.53,7.82,-19,-19.5625,-19.6875,-12.125,-3.9375,120.75,0.490906,0.0825806,-0.0747681,-0.864075
-14.4375,57.75,48.125,-0.32,1.4,7.72,-18.1875,-18.875,-22.5,-12.0625,-4.375,120.312,0.494385,0.0858154,-0.0717163,-0.862
-7.875,60.125,50.8125,-0.14,1.07,7.93,-18.1875,-18.875,-22.5,-12,-4.875,119.75,0.498535,0.0895996,-0.0690308,-0.859497
-3.3125,61.25,54,-0.17,0.93,8.31,-18.1875,-18.875,-22.5,-12.0625,-5.3125,119.125,0.502808,0.0935669,-0.0665894,-0.85675
-1.625,58.625,57,-0.28,0.69,8.69,-18.1875,-18.875,-22.5,-12.0625,-5.75,118.562,0.507263,0.0974121,-0.0644531,-0.853821
-2.375,54.3125,58.0625,-0.18,0.32,9,-18.1875,-18.875,-22.5,-12.125,-6.1875,117.938,0.51178,0.100891,-0.0623779,-0.850891
-4.5,50.375,58.375,0.66,-0.49,9.65,-18.5625,-17,-23.375,-12.1875,-6.5,117.312,0.516235,0.104065,-0.0604248,-0.847961
